,price,brand,model,year,title_status,mileage,color,state,country
48,5580,dodge,mpv,2017,clean vehicle,46829.0,gray,texas, usa
49,54000,ford,srw,2017,clean vehicle,26241.0,black,pennsylvania, usa
50,12710,gmc,mpv,2017,clean vehicle,39886.0,red,california, usa
51,16000,jeep,compass,2019,clean vehicle,31594.0,silver,north carolina, usa
52,27000,buick,enclave,2017,clean vehicle,32107.0,no_color,tennessee, usa
53,7760,ford,mpv,2017,clean vehicle,44794.0,gray,texas, usa
54,19600,chrysler,300,2019,clean vehicle,42648.0,gray,south carolina, usa
55,12920,gmc,mpv,2017,clean vehicle,39165.0,silver,california, usa
56,20000,jeep,cherokee,2019,clean vehicle,38355.0,charcoal,north carolina, usa
57,18100,buick,door,2017,clean vehicle,46766.0,silver,florida, usa
58,23000,chrysler,pacifica,2020,clean vehicle,2473.0,white,ohio, usa
59,18500,chrysler,300,2019,clean vehicle,38586.0,gray,south carolina, usa
60,13490,gmc,door,2017,clean vehicle,27842.0,white,california, usa
61,20700,jeep,cherokee,2019,clean vehicle,31156.0,white,north carolina, usa
62,17800,chevrolet,door,2017,clean vehicle,52435.0,black,florida, usa
63,6650,ford,door,2017,clean vehicle,29942.0,black,texas, usa
64,29100,chrysler,pacifica,2019,clean vehicle,25281.0,red,south carolina, usa
65,12710,gmc,door,2017,clean vehicle,32504.0,silver,california, usa
66,21100,jeep,cherokee,2019,clean vehicle,28649.0,silver,north carolina, usa
67,18600,chevrolet,door,2017,clean vehicle,35200.0,white,florida, usa
68,4340,ford,door,2017,clean vehicle,25602.0,silver,texas, usa
69,19300,chrysler,300,2019,clean vehicle,34801.0,gray,south carolina, usa
70,12780,gmc,door,2017,clean vehicle,31009.0,black,california, usa
71,15800,jeep,compass,2019,clean vehicle,35595.0,charcoal,north carolina, usa
72,29400,bmw,x3,2017,clean vehicle,23765.0,black,tennessee, usa
73,4430,ford,door,2017,clean vehicle,31792.0,black,texas, usa
74,19400,chrysler,300,2019,clean vehicle,33135.0,gray,south carolina, usa
75,12520,gmc,door,2017,clean vehicle,30636.0,red,california, usa
76,15900,jeep,compass,2019,clean vehicle,34502.0,red,north carolina, usa
77,26400,buick,door,2017,clean vehicle,25434.0,white,florida, usa
78,4140,ford,door,2017,clean vehicle,36732.0,black,texas, usa
79,18300,chrysler,300,2019,clean vehicle,41792.0,gray,south carolina, usa
80,12520,gmc,door,2017,clean vehicle,31992.0,black,california, usa
81,17900,jeep,compass,2019,clean vehicle,32501.0,red,north carolina, usa
82,18300,chevrolet,camaro,2017,clean vehicle,28395.0,black,florida, usa
83,4640,ford,door,2017,clean vehicle,36139.0,blue,texas, usa
84,24000,ford,door,2016,clean vehicle,84413.0,black,pennsylvania, usa
85,13200,gmc,door,2017,clean vehicle,33457.0,white,california, usa
86,18000,jeep,compass,2019,clean vehicle,29245.0,gray,north carolina, usa
87,14900,chevrolet,equinox,2017,clean vehicle,12783.0,silver,florida, usa
88,4140,ford,door,2017,clean vehicle,17617.0,white,texas, usa
89,11500,ford,door,2016,clean vehicle,36855.0,black,pennsylvania, usa
90,9110,ford,door,2017,clean vehicle,110316.0,white,texas, usa
91,7350,chrysler,door,2015,clean vehicle,88227.0,black,pennsylvania, usa
92,24500,bmw,door,2017,clean vehicle,17626.0,gray,michigan, usa
93,9300,ford,door,2017,clean vehicle,120353.0,white,texas, usa
94,39800,dodge,challenger,2015,clean vehicle,3641.0,white,pennsylvania, usa
95,53500,bmw,m,2017,clean vehicle,29355.0,blue,michigan, usa
96,15110,ford,door,2017,clean vehicle,39333.0,black,texas, usa
97,34000,ford,door,2015,clean vehicle,42930.0,white,pennsylvania, usa
98,26502,chevrolet,colorado,2017,clean vehicle,24993.0,black,michigan, usa
99,5990,ford,mpv,2017,clean vehicle,44929.0,black,texas, usa
100,13600,ford,focus,2018,clean vehicle,16971.0,black,south carolina, usa
101,23605,cadillac,door,2017,clean vehicle,35598.0,gray,michigan, usa
102,10780,ford,mpv,2017,clean vehicle,40455.0,white,texas, usa
103,13800,ford,focus,2018,clean vehicle,23164.0,white,south carolina, usa
104,25201,cadillac,door,2017,clean vehicle,19011.0,no_color,michigan, usa
105,7070,ford,mpv,2017,clean vehicle,45191.0,white,texas, usa
106,8700,ford,focus,2018,clean vehicle,21405.0,white,south carolina, usa
107,18003,chevrolet,malibu,2017,clean vehicle,19117.0,no_color,michigan, usa
108,8530,ford,door,2017,clean vehicle,42104.0,black,texas, usa
109,23100,dodge,durango,2018,clean vehicle,49496.0,white,south carolina, usa
110,24500,cadillac,door,2017,clean vehicle,32418.0,white,michigan, usa
111,7000,ford,mpv,2017,clean vehicle,29882.0,white,texas, usa
112,17000,ford,escape,2018,clean vehicle,34819.0,gold,south carolina, usa
113,34002,chevrolet,1500,2017,clean vehicle,31923.0,white,michigan, usa
114,6980,ford,mpv,2017,clean vehicle,29168.0,gray,texas, usa
115,25000,dodge,charger,2018,clean vehicle,28307.0,silver,michigan, usa
116,20802,chevrolet,colorado,2017,clean vehicle,33791.0,turquoise,michigan, usa
117,9200,ford,door,2017,clean vehicle,21770.0,black,texas, usa
118,26500,chrysler,pacifica,2017,clean vehicle,18375.0,gray,michigan, usa
119,24802,chevrolet,colorado,2017,clean vehicle,14158.0,gray,michigan, usa
120,7070,ford,mpv,2017,clean vehicle,30318.0,black,texas, usa
121,28500,ford,door,2017,clean vehicle,48086.0,red,south carolina, usa
122,47500,cadillac,door,2017,clean vehicle,26562.0,black,michigan, usa
123,23500,ford,explorer,2017,clean vehicle,57611.0,black,south carolina, usa
124,23505,chevrolet,colorado,2017,clean vehicle,47357.0,black,michigan, usa
125,10940,ford,door,2017,clean vehicle,84916.0,white,texas, usa
126,32100,ford,f-150,2017,clean vehicle,24521.0,gray,south carolina, usa
127,53000,chevrolet,3500,2018,clean vehicle,16105.0,black,washington, usa
128,6830,ford,mpv,2017,clean vehicle,35888.0,gold,texas, usa
129,11900,dodge,caravan,2017,clean vehicle,59537.0,gray,south carolina, usa
130,26414,chevrolet,1500,2017,clean vehicle,55222.0,black,michigan, usa
131,4160,dodge,mpv,2018,clean vehicle,32870.0,gray,florida, usa
132,19405,chevrolet,door,2017,clean vehicle,39687.0,silver,michigan, usa
133,5690,dodge,mpv,2018,clean vehicle,47085.0,silver,florida, usa
134,25900,chrysler,van,2017,clean vehicle,32224.0,silver,south carolina, usa
135,24005,chevrolet,1500,2017,clean vehicle,51293.0,beige,michigan, usa
136,5090,dodge,mpv,2018,clean vehicle,42989.0,gray,florida, usa
137,19500,chrysler,300,2017,clean vehicle,31311.0,gray,arizona, usa
138,32012,chevrolet,1500,2017,clean vehicle,46091.0,white,michigan, usa
139,6800,dodge,dart,2016,clean vehicle,49033.0,black,michigan, usa
140,4260,dodge,mpv,2018,clean vehicle,33957.0,gray,florida, usa
142,31802,chevrolet,2500,2017,clean vehicle,19845.0,silver,michigan, usa
143,7210,dodge,doors,2018,clean vehicle,38910.0,black,florida, usa
145,28402,chevrolet,1500,2017,clean vehicle,31234.0,black,michigan, usa
146,6800,dodge,doors,2018,clean vehicle,36767.0,gray,florida, usa
147,33300,cadillac,esv,2015,clean vehicle,57932.0,gray,washington, usa
148,10780,dodge,mpv,2018,clean vehicle,19420.0,white,florida, usa
149,6700,ford,cutaway,2014,clean vehicle,204155.0,beige,pennsylvania, usa
150,20000,chevrolet,1500,2016,clean vehicle,93493.0,white,washington, usa
151,6440,chrysler,doors,2018,clean vehicle,20942.0,gray,florida, usa
152,19900,ford,door,2016,clean vehicle,86826.0,gray,south carolina, usa
153,37000,chevrolet,door,2015,clean vehicle,45787.0,white,washington, usa
154,4040,dodge,mpv,2018,clean vehicle,50765.0,red,florida, usa
155,22300,ford,explorer,2016,clean vehicle,62774.0,black,south carolina, usa
156,31200,chevrolet,door,2011,clean vehicle,76326.0,gray,washington, usa
157,4290,dodge,mpv,2018,clean vehicle,39029.0,white,florida, usa
158,22800,ford,el,2016,clean vehicle,72885.0,silver,south carolina, usa
159,19002,cadillac,door,2016,clean vehicle,46467.0,white,michigan, usa
160,4160,dodge,mpv,2018,clean vehicle,6743.0,gray,florida, usa
161,18500,ford,edge,2016,clean vehicle,33514.0,white,south carolina, usa
162,39000,bmw,series,2016,clean vehicle,39917.0,blue,michigan, usa
163,6060,dodge,doors,2018,clean vehicle,32504.0,black,florida, usa
164,28800,ford,door,2016,clean vehicle,77638.0,white,south carolina, usa
165,40000,bmw,series,2016,clean vehicle,31727.0,gray,michigan, usa
166,6140,dodge,doors,2018,clean vehicle,52966.0,silver,florida, usa
167,21000,ford,flex,2016,clean vehicle,24157.0,gray,south carolina, usa
168,20105,buick,door,2016,clean vehicle,51393.0,beige,michigan, usa
169,6760,dodge,doors,2018,clean vehicle,35461.0,white,florida, usa
170,25800,ford,door,2014,clean vehicle,47055.0,brown,pennsylvania, usa
171,39000,bmw,series,2016,clean vehicle,33110.0,black,michigan, usa
172,5470,dodge,mpv,2018,clean vehicle,39721.0,black,florida, usa
173,14600,ford,door,2014,clean vehicle,75785.0,black,pennsylvania, usa
174,24502,chevrolet,1500,2016,clean vehicle,33624.0,black,michigan, usa
175,15110,ford,door,2017,clean vehicle,42289.0,white,texas, usa
176,7900,ford,door,2014,clean vehicle,79422.0,white,new york, usa
177,27305,chevrolet,door,2016,clean vehicle,28844.0,blue,michigan, usa
178,15290,ford,door,2017,clean vehicle,66582.0,white,texas, usa
179,26500,ford,door,2015,clean vehicle,61436.0,silver,south carolina, usa
180,25502,chevrolet,door,2016,clean vehicle,58303.0,silver,michigan, usa
181,7320,ford,mpv,2017,clean vehicle,55618.0,white,texas, usa
182,3800,chevrolet,van,2009,clean vehicle,261648.0,white,michigan, usa
183,24502,chevrolet,door,2016,clean vehicle,33045.0,white,michigan, usa
184,4140,ford,door,2017,clean vehicle,40747.0,white,texas, usa
185,1400,dodge,pk,2002,clean vehicle,185460.0,black,michigan, usa
186,18402,cadillac,srx,2016,clean vehicle,26667.0,gray,michigan, usa
187,4160,ford,door,2017,clean vehicle,37176.0,white,texas, usa
188,175,chrysler,door,2000,salvage insurance,231240.0,red,north carolina, usa
189,24503,chevrolet,colorado,2016,clean vehicle,18006.0,brown,michigan, usa
190,15840,ford,door,2017,clean vehicle,72445.0,white,texas, usa
191,20500,ford,door,2014,clean vehicle,123355.0,black,south carolina, usa
192,21003,chevrolet,1500,2016,clean vehicle,44116.0,silver,michigan, usa
193,4200,ford,door,2017,clean vehicle,60219.0,red,texas, usa
194,17400,ford,door,2011,clean vehicle,135077.0,red,georgia, usa
195,32001,chevrolet,door,2016,clean vehicle,32058.0,black,michigan, usa
197,15700,ford,cab,2011,clean vehicle,309564.0,white,south carolina, usa
198,31009,chevrolet,door,2016,clean vehicle,33928.0,white,michigan, usa
199,3740,ford,wagon,2017,clean vehicle,90618.0,white,texas, usa
200,5000,dodge,pickup,2001,clean vehicle,109360.0,white,georgia, usa
201,31002,chevrolet,door,2016,clean vehicle,71809.0,white,michigan, usa
202,3160,ford,doors,2017,clean vehicle,31563.0,gray,texas, usa
203,8600,dodge,pickup,2005,clean vehicle,219823.0,gray,south carolina, usa
204,6000,chevrolet,malibu,2018,clean vehicle,42090.0,gray,texas, usa
205,12990,ford,door,2017,clean vehicle,126523.0,white,texas, usa
206,25,chevrolet,vehicl,2020,salvage insurance,7232.0,black,kentucky, usa
207,13200,buick,encore,2017,clean vehicle,60171.0,black,texas, usa
208,4410,ford,wagon,2017,clean vehicle,209915.0,white,texas, usa
209,25,chrysler,door,2005,salvage insurance,151815.0,silver,massachusetts, usa
210,22500,chevrolet,camaro,2020,clean vehicle,13826.0,green,georgia, usa
211,7420,ford,mpv,2017,clean vehicle,55854.0,white,texas, usa
212,13500,ford,door,2016,clean vehicle,45757.0,silver,arizona, usa
213,15500,chevrolet,trax,2020,clean vehicle,16545.0,white,georgia, usa
214,3540,ford,door,2017,clean vehicle,112893.0,white,texas, usa
215,17000,ford,door,2016,clean vehicle,126802.0,no_color,florida, usa
216,45500,chevrolet,tahoe,2020,clean vehicle,13303.0,white,georgia, usa
217,4130,ford,door,2017,clean vehicle,34061.0,silver,texas, usa
218,15700,ford,door,2015,clean vehicle,70251.0,white,arizona, usa
219,45500,chevrolet,tahoe,2020,clean vehicle,13679.0,gray,georgia, usa
220,4130,ford,doors,2017,clean vehicle,42426.0,gray,texas, usa
221,15500,dodge,door,2012,clean vehicle,66452.0,black,pennsylvania, usa
222,16300,chevrolet,trax,2020,clean vehicle,18221.0,white,georgia, usa
223,4530,ford,mpv,2017,clean vehicle,41455.0,white,texas, usa
224,15600,dodge,door,2011,clean vehicle,35275.0,black,pennsylvania, usa
225,45500,chevrolet,tahoe,2020,clean vehicle,13885.0,white,georgia, usa
226,4100,ford,door,2017,clean vehicle,38815.0,gray,texas, usa
227,18200,dodge,door,2011,clean vehicle,162281.0,white,pennsylvania, usa
228,10200,chevrolet,door,2013,clean vehicle,56479.0,black,texas, usa
229,4080,ford,doors,2017,clean vehicle,61027.0,black,texas, usa
230,5700,ford,van,2014,clean vehicle,178703.0,white,florida, usa
231,10200,chevrolet,3500,2014,clean vehicle,173469.0,white,texas, usa
232,5000,ford,door,2017,clean vehicle,37321.0,white,texas, usa
233,1700,ford,door,2014,clean vehicle,112789.0,white,florida, usa
234,6200,bmw,door,2011,clean vehicle,80394.0,gray,texas, usa
235,3650,ford,door,2016,clean vehicle,68142.0,white,texas, usa
236,10500,dodge,door,2014,clean vehicle,74203.0,white,arizona, usa
237,43500,chevrolet,2500,2018,clean vehicle,57604.0,white,georgia, usa
238,4610,dodge,van,2016,clean vehicle,87229.0,silver,texas, usa
239,3450,ford,door,2012,clean vehicle,90711.0,white,florida, usa
240,38500,chevrolet,suburban,2018,clean vehicle,11135.0,silver,georgia, usa
241,6810,ford,mpv,2016,clean vehicle,66781.0,silver,texas, usa
242,2900,ford,cargo,2011,clean vehicle,190994.0,white,florida, usa
243,43500,chevrolet,2500,2018,clean vehicle,56007.0,white,georgia, usa
244,4450,ford,mpv,2016,clean vehicle,32486.0,white,texas, usa
245,5800,ford,door,2011,clean vehicle,195908.0,white,florida, usa
246,16500,chevrolet,equinox,2018,clean vehicle,18020.0,silver,georgia, usa
247,4240,dodge,mpv,2016,clean vehicle,83262.0,white,texas, usa
248,26500,ford,pickup,2008,clean vehicle,62015.0,white,pennsylvania, usa
249,13700,chevrolet,equinox,2017,clean vehicle,36421.0,silver,georgia, usa
250,8600,ford,door,2016,clean vehicle,73321.0,white,texas, usa
251,8000,ford,chassis,2008,clean vehicle,132379.0,white,florida, usa
252,14200,chevrolet,equinox,2017,clean vehicle,28013.0,silver,georgia, usa
253,7040,ford,mpv,2016,clean vehicle,33291.0,silver,texas, usa
254,4700,ford,chassis,2005,clean vehicle,225236.0,no_color,florida, usa
255,30851,chevrolet,door,2016,clean vehicle,43176.0,red,georgia, usa
256,4880,ford,mpv,2016,clean vehicle,36876.0,silver,texas, usa
257,14500,dodge,pickup,2006,clean vehicle,111782.0,silver,pennsylvania, usa
258,7600,chevrolet,door,2017,clean vehicle,110489.0,brown,nebraska, usa
259,13270,ford,door,2016,clean vehicle,84035.0,white,texas, usa
260,12800,ford,door,2012,clean vehicle,131101.0,gray,arizona, usa
262,9280,ford,door,2016,clean vehicle,101380.0,white,texas, usa
263,900,ford,van,2003,clean vehicle,142027.0,white,florida, usa
264,7560,ford,door,2016,clean vehicle,111476.0,gray,texas, usa
265,19500,ford,drw,2011,clean vehicle,76897.0,white,pennsylvania, usa
266,17100,chevrolet,malibu,2019,clean vehicle,15780.0,white,washington, usa
267,8020,ford,door,2016,clean vehicle,31944.0,white,texas, usa
268,10300,ford,fiesta,2019,clean vehicle,18937.0,black,missouri, usa
269,22600,chevrolet,van,2019,clean vehicle,9706.0,white,washington, usa
270,10480,ford,doors,2016,clean vehicle,57289.0,gray,texas, usa
271,10300,ford,fiesta,2019,clean vehicle,19956.0,silver,missouri, usa
272,22700,chevrolet,van,2019,clean vehicle,6075.0,white,washington, usa
273,7410,ford,door,2016,clean vehicle,21034.0,gray,texas, usa
274,10300,ford,fiesta,2019,clean vehicle,22881.0,gray,missouri, usa
275,10300,chevrolet,door,2013,clean vehicle,167600.0,gray,washington, usa
276,7570,ford,door,2016,clean vehicle,37252.0,white,texas, usa
277,67000,dodge,challenger,2019,clean vehicle,10944.0,blue,ohio, usa
278,18900,chevrolet,impala,2019,clean vehicle,27601.0,white,texas, usa
279,12560,ford,doors,2019,clean vehicle,15958.0,white,florida, usa
280,33000,dodge,durango,2019,clean vehicle,32251.0,white,ohio, usa
281,18300,chevrolet,impala,2019,clean vehicle,25809.0,black,texas, usa
282,11760,ford,cab,2017,clean vehicle,30553.0,white,texas, usa
283,31700,dodge,durango,2019,clean vehicle,26549.0,red,ohio, usa
284,25,dodge,door,2007,salvage insurance,160528.0,dark blue,minnesota, usa
286,7340,ford,doors,2019,clean vehicle,15854.0,gray,florida, usa
287,8200,hyundai,door,2017,clean vehicle,56690.0,white,connecticut, usa
288,3000,kia,door,2013,clean vehicle,97142.0,silver,missouri, usa
289,6530,jeep,mpv,2019,clean vehicle,10185.0,black,georgia, usa
291,12700,kia,soul,2019,clean vehicle,23514.0,silver,california, usa
292,13800,kia,sorento,2017,clean vehicle,86959.0,gray,north carolina, usa
294,725,ford,door,2017,salvage insurance,67279.0,gray,virginia, usa
295,7400,ford,doors,2019,clean vehicle,16482.0,gray,florida, usa
296,9800,hyundai,elantra,2017,clean vehicle,35687.0,red,connecticut, usa
298,4400,jeep,mpv,2019,clean vehicle,17911.0,green,georgia, usa
299,10330,infiniti,mpv,2019,clean vehicle,21278.0,blue,florida, usa
300,1800,chevrolet,door,2011,salvage insurance,47269.0,black,arkansas, usa
301,50,chevrolet,door,2008,salvage insurance,172102.0,blue,texas, usa
302,720,ford,wagon,2006,clean vehicle,26914.0,no_color,florida, usa
303,22800,ford,door,2017,clean vehicle,67217.0,red,michigan, usa
304,2500,ford,door,2017,salvage insurance,78698.0,black,california, usa
306,9190,gmc,mpv,2017,clean vehicle,41961.0,black,virginia, usa
307,10900,jeep,mpv,2019,clean vehicle,13273.0,red,michigan, usa
308,10400,infiniti,mpv,2019,clean vehicle,31713.0,black,florida, usa
311,7320,chevrolet,pickup,2008,clean vehicle,325611.0,silver,florida, usa
312,22809,ford,f-150,2017,clean vehicle,50732.0,black,michigan, usa
315,5520,gmc,mpv,2017,clean vehicle,52904.0,silver,virginia, usa
316,10900,jeep,mpv,2019,clean vehicle,14195.0,orange,michigan, usa
317,6330,jeep,mpv,2019,clean vehicle,43965.0,red,florida, usa
319,25,chevrolet,pickup,2010,salvage insurance,149189.0,white,colorado, usa
320,2320,dodge,door,2007,clean vehicle,112182.0,red,florida, usa
321,23702,ford,door,2017,clean vehicle,49024.0,black,michigan, usa
324,5520,gmc,mpv,2017,clean vehicle,35821.0,silver,virginia, usa
325,4050,heartland,pioneer,2018,clean vehicle,1.0,gray,pennsylvania, usa
326,14810,infiniti,mpv,2019,clean vehicle,32611.0,brown,florida, usa
327,25,chevrolet,door,2011,salvage insurance,105244.0,white,colorado, usa
328,2960,chrysler,van,2008,clean vehicle,164048.0,red,florida, usa
329,24800,ford,door,2017,clean vehicle,46955.0,gray,michigan, usa
332,6270,gmc,mpv,2017,clean vehicle,70443.0,black,virginia, usa
333,1880,heartland,trail,2012,clean vehicle,1.0,white,pennsylvania, usa
334,10050,infiniti,mpv,2019,clean vehicle,18229.0,gray,florida, usa
335,225,chevrolet,door,2014,salvage insurance,87673.0,red,colorado, usa
336,26900,chevrolet,traverse,2018,clean vehicle,42941.0,black,missouri, usa
337,1420,chrysler,door,2007,clean vehicle,104405.0,gold,florida, usa
338,27003,ford,door,2017,clean vehicle,57186.0,black,michigan, usa
340,350,ford,door,2004,salvage insurance,236980.0,gray,illinois, usa
341,5600,gmc,mpv,2017,clean vehicle,59808.0,black,virginia, usa
342,6680,heartland,country,2011,clean vehicle,1.0,gray,pennsylvania, usa
343,10120,infiniti,mpv,2019,clean vehicle,20681.0,white,florida, usa
345,3920,ford,door,2015,clean vehicle,102700.0,white,georgia, usa
346,23100,ford,door,2017,clean vehicle,53270.0,black,michigan, usa
348,5630,gmc,mpv,2017,clean vehicle,27195.0,black,virginia, usa
350,2800,jaguar,doors,2019,clean vehicle,20849.0,black,florida, usa
352,8850,ford,door,2015,clean vehicle,143818.0,black,georgia, usa
353,18712,ford,f-150,2017,clean vehicle,67347.0,black,michigan, usa
356,6300,gmc,mpv,2017,clean vehicle,117400.0,blue,virginia, usa
357,2220,heartland,country,2010,clean vehicle,1.0,white,pennsylvania, usa
358,6930,jeep,mpv,2019,clean vehicle,47798.0,red,florida, usa
359,25,chevrolet,door,2008,salvage insurance,130623.0,white,california, usa
360,3440,ford,door,2015,clean vehicle,124542.0,white,georgia, usa
361,50412,ford,door,2017,clean vehicle,47129.0,black,michigan, usa
362,25,ford,pickup,1994,salvage insurance,206162.0,white,georgia, usa
363,950,ford,pk,2001,salvage insurance,229886.0,red,illinois, usa
364,9270,gmc,mpv,2017,clean vehicle,19490.0,gray,virginia, usa
365,11380,jeep,mpv,2019,clean vehicle,12038.0,black,michigan, usa
366,5350,hyundai,mpv,2019,clean vehicle,43536.0,blue,florida, usa
367,2725,chevrolet,door,2004,salvage insurance,308451.0,black,south carolina, usa
368,3790,ford,door,2015,clean vehicle,100893.0,gray,georgia, usa
369,40514,ford,door,2017,clean vehicle,90304.0,white,michigan, usa
372,9190,gmc,mpv,2017,clean vehicle,31394.0,gray,virginia, usa
373,10330,infiniti,mpv,2019,clean vehicle,25933.0,gray,florida, usa
374,1000,acura,door,2008,salvage insurance,118250.0,gray,michigan, usa
375,2925,bmw,door,2013,salvage insurance,46060.0,white,florida, usa
376,3830,ford,door,2015,clean vehicle,50593.0,gold,georgia, usa
377,43402,ford,door,2017,clean vehicle,62387.0,blue,michigan, usa
378,1025,gmc,door,2009,salvage insurance,169634.0,black,michigan, usa
379,17200,honda,van,2016,clean vehicle,72527.0,gray,new jersey, usa
380,54680,harley-davidson,road/street,2016,clean vehicle,9502.0,black,virginia, usa
381,6940,honda,door,2010,clean vehicle,217290.0,no_color,pennsylvania, usa
382,13080,infiniti,mpv,2019,clean vehicle,17243.0,gray,florida, usa
383,25,chevrolet,door,2007,salvage insurance,194903.0,gray,virginia, usa
384,10630,ford,door,2015,clean vehicle,82899.0,white,georgia, usa
385,43009,ford,door,2017,clean vehicle,76418.0,white,michigan, usa
386,25,gmc,door,2003,salvage insurance,138441.0,white,michigan, usa
387,4600,ford,pickup,2006,salvage insurance,240740.0,brown,mississippi, usa
388,4950,honda,mpv,2016,clean vehicle,71404.0,black,virginia, usa
389,3760,hyundai,doors,2019,clean vehicle,30382.0,silver,florida, usa
390,3900,acura,door,2009,clean vehicle,179389.0,black,texas, usa
392,3830,ford,door,2015,clean vehicle,82534.0,silver,georgia, usa
393,53500,ford,door,2017,clean vehicle,55732.0,white,michigan, usa
394,25,ford,door,2010,salvage insurance,198596.0,gray,michigan, usa
395,25,ford,door,1998,salvage insurance,300021.0,brown,arkansas, usa
396,6240,honda,door,2015,clean vehicle,83623.0,silver,virginia, usa
397,4150,jeep,door,2014,clean vehicle,108895.0,white,new york, usa
398,25,jeep,door,1999,salvage insurance,226972.0,black,florida, usa
399,61200,bmw,series,2020,clean vehicle,7509.0,black,california, usa
401,13500,bmw,series,2014,clean vehicle,33542.0,blue,new jersey, usa
402,6490,ford,door,2015,clean vehicle,74754.0,black,georgia, usa
403,51502,ford,door,2017,clean vehicle,27661.0,black,michigan, usa
404,250,ford,door,2010,salvage insurance,115241.0,white,michigan, usa
405,25,ford,door,1984,salvage insurance,41577.0,white,arkansas, usa
406,8160,honda,van,2015,clean vehicle,109027.0,gray,virginia, usa
407,7770,jeep,door,2014,clean vehicle,72732.0,gray,new york, usa
408,200,jeep,door,2001,salvage insurance,126400.0,green,maryland, usa
409,25,audi,door,2008,salvage insurance,177422.0,black,texas, usa
411,1825,bmw,coupe,2008,salvage insurance,77984.0,white,georgia, usa
412,39800,bmw,series,2017,clean vehicle,23177.0,blue,california, usa
413,9210,ford,door,2015,clean vehicle,26911.0,silver,georgia, usa
414,58500,ford,srw,2019,clean vehicle,21527.0,blue,washington, usa
